Downtime_ID,Plant,Line,Start_Time,End_Time,Duration_Min,Reason_Code,Reason_Description,Technician,Repair_Time_Min,Failure_Type
DT-2025-018,PLT-02,LINE-C,2025-01-13 10:00:00,2025-01-13 10:40:00,40,RC-005,Sensor Malfunction,Mike Johnson,35,Breakdown
DT-2025-019,PLT-01,LINE-A,2025-01-14 11:15:00,2025-01-14 11:50:00,35,RC-001,Mechanical Failure,Sarah Davis,30,Breakdown
DT-2025-020,PLT-01,LINE-B,2025-01-14 08:45:00,2025-01-14 09:15:00,30,RC-004,Quality Check,N/A,0,Planned
DT-2025-021,PLT-02,LINE-D,2025-01-14 13:30:00,2025-01-14 14:15:00,45,RC-007,PLC Error,Tom Wilson,40,Breakdown
DT-2025-022,PLT-01,LINE-A,2025-01-15 14:20:00,2025-01-15 14:55:00,35,RC-002,Electrical Issue,Mike Johnson,30,Breakdown
DT-2025-023,PLT-01,LINE-B,2025-01-15 10:30:00,2025-01-15 11:00:00,30,RC-003,Material Shortage,N/A,0,Planned
DT-2025-024,PLT-02,LINE-C,2025-01-15 15:00:00,2025-01-15 15:35:00,35,RC-001,Mechanical Failure,John Smith,28,Breakdown
DT-2025-025,PLT-01,LINE-A,2025-01-16 09:00:00,2025-01-16 09:45:00,45,RC-009,Hydraulic Leak,Sarah Davis,40,Breakdown
DT-2025-026,PLT-01,LINE-B,2025-01-16 13:15:00,2025-01-16 13:50:00,35,RC-005,Sensor Malfunction,Mike Johnson,30,Breakdown
DT-2025-027,PLT-02,LINE-D,2025-01-16 11:00:00,2025-01-16 11:40:00,40,RC-002,Electrical Issue,Tom Wilson,35,Breakdown
DT-2025-028,PLT-01,LINE-A,2025-01-17 10:30:00,2025-01-17 11:10:00,40,RC-001,Mechanical Failure,John Smith,35,Breakdown
DT-2025-029,PLT-01,LINE-B,2025-01-17 14:45:00,2025-01-17 15:15:00,30,RC-006,Tooling Change,N/A,0,Planned
DT-2025-030,PLT-02,LINE-C,2025-01-17 08:30:00,2025-01-17 09:15:00,45,RC-007,PLC Error,Sarah Davis,38,Breakdown
DT-2025-031,PLT-01,LINE-A,2025-01-20 11:00:00,2025-01-20 11:35:00,35,RC-002,Electrical Issue,Mike Johnson,30,Breakdown
DT-2025-032,PLT-01,LINE-B,2025-01-20 09:15:00,2025-01-20 09:45:00,30,RC-008,Preventive Maintenance,N/A,0,Planned
DT-2025-033,PLT-02,LINE-C,2025-01-20 14:00:00,2025-01-20 14:50:00,50,RC-001,Mechanical Failure,Tom Wilson,45,Breakdown
DT-2025-034,PLT-01,LINE-A,2025-01-21 08:00:00,2025-01-21 08:40:00,40,RC-005,Sensor Malfunction,John Smith,35,Breakdown
DT-2025-035,PLT-01,LINE-B,2025-01-21 15:30:00,2025-01-21 16:15:00,45,RC-009,Hydraulic Leak,Sarah Davis,40,Breakdown
DT-2025-036,PLT-02,LINE-D,2025-01-21 12:00:00,2025-01-21 12:35:00,35,RC-002,Electrical Issue,Mike Johnson,30,Breakdown
DT-2025-037,PLT-01,LINE-A,2025-01-22 13:30:00,2025-01-22 14:10:00,40,,Unknown Issue,John Smith,35,Breakdown
DT-2025-038,PLT-01,LINE-B,2025-01-22 10:00:00,2025-01-22 10:30:00,30,RC-004,Quality Check,N/A,0,Planned
DT-2025-039,PLT-02,LINE-C,2025-01-22 16:00:00,2025-01-22 16:40:00,40,RC-001,Mechanical Failure,Tom Wilson,35,Breakdown
DT-2025-040,PLT-01,LINE-A,2025-01-23 09:45:00,2025-01-23 10:20:00,35,RC-007,PLC Error,Mike Johnson,30,Breakdown
DT-2025-041,PLT-01,LINE-B,2025-01-23 14:30:00,2025-01-23 15:05:00,35,RC-001,Mechanical Failure,Sarah Davis,28,Breakdown
DT-2025-042,PLT-02,LINE-D,2025-01-23 11:15:00,2025-01-23 12:00:00,45,RC-005,Sensor Malfunction,John Smith,40,Breakdown
DT-2025-043,PLT-01,LINE-A,2025-01-22 16:00:00,2025-01-22 15:30:00,-30,RC-002,Electrical Issue,Mike Johnson,25,Breakdown
